SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,water_level
REGION,1983,5.3,5.3,9.9,24.2,54.7,165.0,252.3,193.2,148.0,53.7,25.5,9.3,1046.0
REGION,1984,5.0,5.1,10.4,25.1,45.7,146.8,240.3,188.8,141.2,46.4,26.6,9.1,991.0
REGION,1985,5.4,5.1,10.0,22.9,49.9,161.0,241.3,193.9,155.8,52.2,26.5,10.9,1035.0
REGION,1986,5.0,5.0,10.5,25.2,49.6,135.4,269.1,207.9,162.2,51.5,25.1,10.8,1057.0
REGION,1987,4.7,5.5,10.9,24.7,47.5,153.7,240.4,191.1,145.0,45.8,27.3,9.3,1006.0
REGION,1988,4.6,5.1,9.7,24.5,46.6,161.6,237.5,209.4,161.9,51.5,25.0,10.6,1048.0
REGION,1989,5.3,4.8,10.8,25.3,47.0,154.2,250.8,190.4,161.1,53.9,23.9,9.6,1037.0
REGION,1990,5.0,5.1,9.4,25.5,48.0,143.7,247.8,201.0,153.2,53.7,24.8,9.1,1026.0
REGION,1991,5.0,5.4,10.5,22.9,45.2,162.7,262.4,181.0,143.5,52.9,24.7,9.7,1026.0
REGION,1992,5.3,4.9,9.5,27.3,46.9,155.9,231.1,218.2,143.6,53.2,25.9,9.6,1031.0
REGION,1993,4.7,4.5,9.0,22.5,51.5,142.6,234.0,204.1,140.1,46.4,27.2,10.0,997.0
REGION,1994,5.1,4.7,9.9,24.0,54.1,149.7,269.3,190.8,138.5,54.2,27.0,9.8,1037.0
REGION,1995,5.0,4.6,10.4,25.7,51.0,142.0,252.5,200.2,147.9,46.8,26.0,9.9,1022.0
REGION,1996,5.3,4.5,10.2,26.2,53.4,158.0,250.8,194.9,157.1,48.2,27.5,10.4,1047.0
REGION,1997,4.6,5.0,10.1,26.0,53.9,148.4,271.3,200.7,144.0,53.6,24.9,10.1,1053.0
REGION,1998,4.5,5.0,10.8,25.3,52.8,160.7,246.6,216.6,154.0,49.9,24.1,10.6,1061.0
REGION,1999,4.7,4.9,9.0,25.8,50.8,164.6,229.0,197.1,138.9,53.0,25.5,10.7,1014.0
REGION,2000,4.9,5.2,10.1,23.4,52.4,150.5,239.8,219.2,137.2,50.2,24.8,10.8,1029.0
REGION,2001,4.8,5.1,9.7,24.7,54.7,156.8,259.2,184.7,137.0,47.0,24.1,10.1,1018.0
REGION,2002,4.9,4.6,10.4,24.2,47.7,138.2,235.2,203.5,164.7,55.0,23.3,10.4,1022.0
REGION,2003,5.0,5.3,9.5,25.7,49.9,136.3,265.9,185.0,162.5,51.1,24.1,9.5,1030.0
REGION,2004,5.1,5.3,9.7,26.5,50.5,162.6,270.4,193.1,145.3,54.7,26.9,9.0,1059.0
REGION,2005,5.1,5.0,10.2,26.8,53.4,151.3,236.1,192.6,156.7,52.4,23.9,10.8,1024.0
REGION,2006,4.5,5.0,10.6,26.0,50.7,138.2,231.3,180.1,146.8,49.0,24.5,9.4,976.0
REGION,2007,5.1,4.8,9.6,25.0,45.4,141.4,237.6,207.6,144.0,46.8,25.2,10.3,1003.0
REGION,2008,4.5,5.4,10.2,26.8,46.9,157.2,263.0,191.7,138.5,50.7,26.8,10.8,1032.0
REGION,2009,4.6,4.6,9.4,24.3,45.8,143.5,260.7,184.8,160.3,53.4,27.2,10.2,1029.0
REGION,2010,4.9,4.8,9.7,25.5,49.6,148.7,275.0,203.8,146.2,48.3,24.3,9.1,1050.0
REGION,2011,4.9,4.8,10.7,23.0,51.8,152.1,266.8,210.3,135.1,54.6,23.6,9.2,1047.0
REGION,2012,4.6,4.7,10.3,26.1,48.6,136.0,264.7,205.7,140.0,51.0,27.4,10.1,1029.0
REGION,2013,5.1,5.2,9.5,26.6,47.7,149.9,272.3,216.5,152.3,52.0,27.3,10.4,1075.0
REGION,2014,5.0,4.6,10.0,24.0,52.3,160.1,260.4,188.4,144.8,48.7,24.9,10.6,1034.0
REGION,2015,4.6,5.3,9.3,27.3,49.6,138.4,260.6,185.3,152.7,51.3,24.8,10.1,1019.0
REGION,2016,5.5,4.7,9.6,24.5,48.5,136.4,246.9,210.1,151.2,46.0,26.1,9.3,1019.0
REGION,2017,4.6,5.3,10.7,22.8,46.0,152.2,263.8,184.5,151.2,53.2,26.6,10.7,1032.0
REGION,2018,4.5,5.0,9.0,27.4,46.2,162.4,264.6,182.0,159.8,54.2,25.3,9.2,1050.0
REGION,2019,5.0,5.5,9.1,27.5,51.0,137.0,235.5,185.1,159.4,45.5,24.9,9.8,995.0
REGION,2020,5.0,4.7,9.0,23.4,50.1,149.3,247.4,194.5,148.8,51.5,25.7,9.9,1019.0
REGION,2021,4.6,4.7,10.4,24.9,54.7,148.4,244.5,206.6,156.0,48.2,24.8,9.4,1037.0
REGION,2022,4.7,5.2,9.5,22.7,52.1,147.9,237.6,182.3,163.0,49.2,25.9,10.9,1011.0
REGION,2023,4.5,5.4,9.5,25.1,50.2,164.0,268.9,216.4,163.9,51.5,22.7,10.8,1093.0
REGION,2024,4.7,4.9,9.8,26.3,46.0,143.9,226.8,189.0,155.9,52.4,22.9,9.1,992.0
REGION,2025,4.6,5.2,9.8,24.0,53.8,138.8,249.6,195.7,145.2,51.7,25.8,9.7,1014.0
