SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,water_level
REGION,1933,4.7,5.4,9.5,22.6,54.0,143.4,268.6,184.7,163.7,46.9,23.1,10.7,1037.0
REGION,1934,5.2,5.1,9.9,24.6,51.7,160.1,252.2,191.8,137.8,53.7,24.0,9.2,1025.0
REGION,1935,4.6,4.7,9.4,26.4,52.2,157.5,258.1,193.4,135.2,47.7,26.4,10.1,1026.0
REGION,1936,5.1,5.1,10.1,26.5,49.7,144.1,255.6,198.2,150.6,53.3,23.4,10.9,1033.0
REGION,1937,4.7,5.3,10.8,24.6,45.6,164.5,253.1,194.7,143.9,52.4,24.5,10.3,1035.0
REGION,1938,5.1,4.7,10.8,25.7,51.9,138.8,252.2,184.8,163.0,48.2,26.2,9.9,1021.0
REGION,1939,5.4,5.1,9.2,23.7,45.9,136.8,251.3,210.2,160.1,47.0,25.2,11.0,1031.0
REGION,1940,5.0,5.3,10.2,23.7,50.7,164.0,267.6,209.4,140.3,48.2,27.2,9.0,1061.0
REGION,1941,5.1,5.0,9.8,26.3,53.5,155.3,265.9,195.2,138.6,45.8,23.3,10.2,1034.0
REGION,1942,4.6,5.2,9.1,22.7,53.2,157.1,231.3,199.4,155.1,49.4,26.2,9.4,1023.0
REGION,1943,4.7,5.3,10.1,26.7,49.6,156.9,258.0,187.8,136.5,53.9,22.6,10.3,1022.0
REGION,1944,4.6,4.6,10.0,27.4,52.1,135.7,271.3,197.5,162.0,50.3,24.1,9.5,1049.0
REGION,1945,5.0,4.5,9.3,24.5,54.9,149.2,236.9,195.1,135.2,46.0,25.0,10.1,996.0
REGION,1946,4.9,4.6,10.7,25.1,48.1,157.3,274.1,212.5,156.7,53.8,26.8,10.3,1085.0
REGION,1947,4.6,4.8,10.3,25.4,50.5,149.4,252.6,217.6,144.2,46.1,26.3,10.0,1042.0
REGION,1948,5.3,4.6,10.0,24.6,51.4,163.7,272.3,194.0,156.4,54.4,26.1,9.9,1073.0
REGION,1949,5.0,5.5,10.1,27.3,49.2,155.7,255.0,183.2,161.8,54.1,23.3,10.1,1040.0
REGION,1950,5.3,4.9,10.0,25.9,45.6,157.6,245.4,195.6,148.4,52.2,25.4,10.5,1027.0
REGION,1951,5.2,5.2,10.1,23.4,47.5,142.2,259.7,216.3,149.0,52.8,25.9,9.9,1047.0
REGION,1952,5.1,5.5,10.1,24.4,48.8,137.2,269.2,196.9,135.5,47.6,23.9,9.5,1014.0
REGION,1953,5.4,5.5,9.8,27.2,45.7,139.7,230.2,191.8,151.8,47.8,25.8,10.4,991.0
REGION,1954,4.7,4.6,9.3,25.9,49.4,143.4,267.3,182.6,148.5,47.8,26.4,9.3,1019.0
REGION,1955,5.1,5.2,10.7,23.9,53.7,141.5,235.9,217.3,163.9,53.6,27.4,10.6,1049.0
REGION,1956,4.6,5.5,9.3,25.4,45.6,164.7,232.3,218.0,137.6,48.4,25.1,9.1,1026.0
REGION,1957,5.2,5.2,10.7,23.8,53.4,143.3,254.4,196.3,149.5,46.7,26.1,10.8,1026.0
REGION,1958,4.9,5.1,9.1,24.3,49.3,154.1,250.3,184.2,148.3,48.6,26.8,9.9,1015.0
REGION,1959,4.6,4.9,9.6,26.1,51.1,147.9,230.2,216.8,159.4,53.1,24.5,10.0,1038.0
REGION,1960,4.9,4.7,10.1,27.2,52.8,158.8,238.6,214.3,154.6,52.2,23.3,10.0,1052.0
REGION,1961,5.0,4.5,10.3,26.9,51.7,158.8,231.3,207.6,154.7,53.5,23.2,9.7,1037.0
REGION,1962,5.4,5.3,9.6,26.3,48.8,160.7,254.2,213.3,152.2,53.1,22.9,9.5,1061.0
REGION,1963,4.7,5.1,9.8,24.2,54.2,136.5,273.0,206.5,149.5,50.2,24.1,10.4,1048.0
REGION,1964,4.5,5.3,10.7,26.8,53.1,151.6,268.4,197.9,152.0,47.2,25.9,10.1,1054.0
REGION,1965,5.4,5.2,9.0,26.6,49.0,149.2,254.9,206.5,150.3,50.7,23.1,10.6,1040.0
REGION,1966,4.7,4.9,10.7,25.0,53.0,164.2,252.3,200.1,156.9,52.2,26.9,9.9,1061.0
REGION,1967,5.4,4.7,10.9,27.5,49.6,151.7,241.1,192.9,164.5,51.4,26.5,9.7,1036.0
REGION,1968,5.0,4.6,9.1,24.7,49.3,159.4,225.2,217.1,155.2,53.5,23.5,9.5,1036.0
REGION,1969,4.8,4.7,9.8,25.0,54.7,145.5,268.2,210.2,161.7,50.4,27.2,10.5,1073.0
REGION,1970,5.3,4.6,10.3,24.4,53.9,160.4,262.0,212.9,164.0,54.4,25.7,9.1,1087.0
REGION,1971,5.1,5.3,9.4,25.0,48.2,139.4,244.8,185.0,154.1,46.2,23.1,10.0,996.0
REGION,1972,4.9,5.3,10.2,24.4,48.5,149.9,228.8,182.2,150.8,52.9,26.3,9.2,993.0
REGION,1973,5.2,5.0,10.5,23.3,51.0,153.3,250.6,194.7,149.8,45.8,25.4,9.7,1024.0
REGION,1974,4.8,5.4,9.9,22.5,52.1,146.2,272.2,199.6,161.0,47.7,23.1,9.3,1054.0
REGION,1975,5.3,4.5,10.0,23.2,51.0,149.4,265.9,184.4,150.6,45.9,23.1,10.0,1023.0
REGION,1976,5.0,5.4,9.4,27.2,45.3,154.4,259.8,187.1,156.4,47.8,26.0,9.4,1033.0
REGION,1977,4.5,5.3,9.6,26.1,46.9,140.7,257.1,186.3,162.9,49.3,24.5,10.1,1023.0
REGION,1978,5.4,4.6,10.9,25.7,54.3,161.4,231.8,210.6,136.1,45.4,25.1,9.7,1021.0
REGION,1979,4.7,4.8,10.9,24.0,49.0,157.8,247.8,214.7,147.8,45.3,26.4,9.6,1043.0
REGION,1980,5.4,5.2,10.1,24.5,50.0,150.1,250.5,205.2,158.1,50.9,26.6,9.7,1046.0
REGION,1981,4.6,4.5,10.2,24.3,50.3,158.3,231.7,189.5,145.1,47.6,24.4,10.5,1001.0
REGION,1982,5.2,4.5,10.2,24.1,47.8,164.6,227.5,219.5,157.8,52.6,24.1,10.2,1048.0
REGION,1983,5.5,5.0,10.8,24.0,46.7,162.4,233.6,213.8,154.0,45.2,23.6,10.5,1035.0
REGION,1984,4.8,4.8,10.1,26.4,48.5,160.1,254.7,209.4,143.7,50.7,25.3,9.5,1048.0
REGION,1985,4.6,4.6,10.7,23.0,48.7,135.1,236.6,189.8,144.1,47.8,26.5,10.9,982.0
REGION,1986,4.9,4.6,9.3,26.6,50.2,146.2,274.3,187.1,152.1,51.5,23.0,9.7,1039.0
REGION,1987,5.5,5.3,9.5,26.6,47.8,158.8,243.3,184.6,151.6,46.3,25.6,10.9,1016.0
REGION,1988,5.5,5.4,10.8,27.1,51.6,156.8,227.1,200.8,164.0,54.4,23.1,9.8,1037.0
REGION,1989,5.3,5.4,9.0,23.4,51.1,151.4,241.1,186.4,146.6,46.5,25.2,10.8,1002.0
REGION,1990,4.8,5.1,10.9,22.8,53.0,138.3,230.9,202.9,143.4,54.8,23.5,10.1,1000.0
REGION,1991,5.3,5.0,9.5,25.6,46.2,145.4,271.9,203.7,162.1,49.7,23.9,10.5,1059.0
REGION,1992,5.5,5.4,10.3,22.9,52.4,149.3,233.5,202.2,138.9,54.2,26.6,9.5,1011.0
REGION,1993,5.1,5.0,9.5,24.4,49.2,150.7,236.9,180.5,163.9,48.2,26.9,10.6,1011.0
REGION,1994,4.8,5.2,9.5,22.5,48.6,152.8,240.5,208.3,148.4,49.2,25.3,10.8,1026.0
REGION,1995,5.1,5.1,10.8,22.9,52.9,135.4,259.7,212.2,163.7,48.0,26.3,9.7,1052.0
REGION,1996,5.5,5.1,10.8,24.5,54.7,143.7,268.7,188.9,155.7,53.5,24.4,9.4,1045.0
REGION,1997,5.1,5.0,10.2,24.0,49.2,137.9,256.6,216.0,136.0,47.7,24.3,10.2,1022.0
REGION,1998,4.6,4.9,9.5,23.6,53.1,140.6,247.3,196.5,154.2,51.8,25.3,9.8,1021.0
REGION,1999,5.4,4.5,9.4,24.8,48.2,155.9,231.7,196.0,148.5,49.0,23.1,9.7,1006.0
REGION,2000,4.7,4.9,10.4,22.6,45.9,154.2,228.3,216.6,136.9,47.2,23.4,10.4,1006.0
REGION,2001,4.8,4.9,10.9,25.8,50.4,139.5,240.0,182.3,137.3,54.4,24.3,9.8,984.0
REGION,2002,5.0,5.1,9.9,24.4,54.4,137.0,264.0,203.5,144.7,51.0,26.3,10.8,1036.0
REGION,2003,5.4,5.1,10.3,27.0,54.7,144.7,252.3,195.3,145.2,45.2,26.5,9.1,1021.0
REGION,2004,5.2,5.3,9.3,23.8,45.5,152.8,251.4,205.3,155.6,50.3,25.0,10.9,1040.0
REGION,2005,4.6,4.5,10.8,22.9,53.5,159.7,259.5,215.3,156.5,48.7,24.4,10.9,1071.0
REGION,2006,4.9,4.8,10.2,27.4,49.8,163.9,252.5,203.6,140.9,54.6,24.2,10.6,1047.0
REGION,2007,5.1,5.2,10.8,27.2,54.8,149.0,225.3,218.6,157.3,46.8,24.6,10.3,1035.0
REGION,2008,5.0,4.7,9.7,22.5,49.9,152.0,262.5,192.5,153.6,51.0,26.0,10.8,1040.0
REGION,2009,5.5,5.4,10.2,23.5,47.5,160.9,237.9,218.8,140.1,46.7,22.6,9.4,1028.0
REGION,2010,4.7,5.0,9.3,22.6,52.0,135.9,264.9,218.1,138.4,46.7,23.9,9.7,1031.0
REGION,2011,5.4,5.1,9.9,25.7,45.0,157.9,225.6,209.2,151.0,50.2,22.6,9.7,1017.0
REGION,2012,4.9,4.9,9.9,25.0,49.9,138.8,251.9,193.3,162.1,54.3,26.2,9.9,1031.0
REGION,2013,5.2,5.5,9.8,23.5,48.3,152.2,265.2,197.1,150.9,45.3,23.2,9.3,1035.0
REGION,2014,4.8,5.0,9.9,26.8,50.5,160.0,271.4,187.7,144.1,46.2,26.1,10.1,1043.0
REGION,2015,5.3,5.3,9.6,23.8,52.1,156.4,273.1,212.5,143.7,45.0,23.8,10.5,1061.0
REGION,2016,5.5,5.4,9.4,25.3,51.9,138.7,266.0,181.1,146.9,49.2,22.7,10.4,1012.0
REGION,2017,5.1,5.3,10.1,23.4,46.1,148.3,260.4,195.0,146.6,54.6,26.7,10.7,1032.0
REGION,2018,4.9,5.2,11.0,22.6,52.7,151.9,235.4,210.3,139.2,50.4,24.8,9.8,1018.0
REGION,2019,4.6,5.5,9.8,25.2,52.6,151.1,269.0,188.3,163.7,46.5,24.0,9.4,1050.0
REGION,2020,4.8,5.4,10.4,25.9,52.3,158.3,237.2,200.6,142.0,54.7,25.0,10.8,1027.0
REGION,2021,4.9,5.3,10.2,24.9,53.8,146.5,250.8,199.2,141.5,49.2,25.2,9.6,1021.0
REGION,2022,5.4,4.6,10.6,24.9,47.5,137.8,265.4,212.5,147.3,51.0,26.8,9.2,1043.0
REGION,2023,4.7,4.8,10.5,25.1,48.3,161.4,266.9,181.0,161.8,53.6,26.7,9.9,1055.0
REGION,2024,5.0,4.9,9.0,27.3,45.6,162.6,249.2,202.6,147.5,54.3,23.4,9.4,1041.0
REGION,2025,5.4,4.5,10.0,25.4,48.4,153.9,267.7,199.9,159.6,45.9,24.4,9.8,1055.0
